Center,Facility,Occupied,Status,Record Date,Last Update,Country,Contact,Phone,Location,City,State,Zipcode
Kennedy Space Center,Control Room 2/1726/HGR-S ,1957,,03-01-1996 00:00,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Langley Research Center,Micometeroid/LDEF Analysis Laboratory,1965,Active,03-01-1996 00:00,02/25/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Kennedy Space Center,SRM Rotation and Processing Facility/K6-0494 ,1984,,03-01-1996 00:00,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Marshall Space Flight Center,ET WTC - 14-Inch Trisonic Wind Tunnel 4732,1968,Active,03-01-1996 00:00,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Marshall Space Flight Center,EB LAB Control Moment Gyro Test & Eval Fac 4487,,Active,06-11-1996 00:00,05/30/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Kennedy Space Center,HMF South Processing Bldg/West High Bay/M7-1212 ,1964,,03-01-1996 00:00,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Kennedy Space Center,Central Supply Warehouse (M6-744) ,1964,,03-01-1996 00:00,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Jet Propulsion Lab,DSS 46 Antenna,1963,Inactive,03-01-1996 00:00,08-07-2013 00:00,US,Gary Gray,818.354.0701,"91109(34.178124, -118.150662)",PASADENA,CA,91109
Jet Propulsion Lab,DSS 65 Antenna,1964,Active,03-01-1996 00:00,08-07-2013 00:00,US,Gary Gray,818.354.0701,"91109(34.178124, -118.150662)",PASADENA,CA,91109
Kennedy Space Center,Utility Annex/K6-947/VAB AREA ,1966,,03-01-1996 00:00,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Jet Propulsion Lab,Microdevices Laboratory (MDL),1990,Active,03-01-1996 00:00,08-08-2013 00:00,US,Gary Gray,818.354.0701,"91109(34.178124, -118.150662)",PASADENA,CA,91109
Stennis Space Center,Test Stand A-2 #4122,1964,Inactive,03-01-1996 00:00,04-06-2015 00:00,US,Robert Bruce,228-688-1646,"39529-6000(30.385948, -89.604486)",Stennis Space Center,MS,39529-6000
Marshall Space Flight Center,EP Data Recording Facility 4583 ,1957,Active,03-01-1996 00:00,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Wallops Flight Facility/GSFC,WFF Research Airport,1958,Active,03-01-1996 00:00,07/19/2013 12:00:00 AM,US,Scott H. Schaire,757-824-1120,"23337-5099(37.911289, -75.469622)",Wallops Island,VA,23337-5099
Marshall Space Flight Center,EH Vacuum Plasma Spray Facility 4707,1956,Active,03-01-1996 00:00,06-02-2014 00:00,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Marshall Space Flight Center,ET Test Facility (TS300) 4530,1966,Active,06-05-1996 00:00,02/26/2015 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Jet Propulsion Lab,DSS 16 Antenna,1958,Inactive,03-01-1996 00:00,08-07-2013 00:00,US,Gary Gray,818.354.0701,"91109(34.178124, -118.150662)",PASADENA,CA,91109
Jet Propulsion Lab,Thermal Vacuum Chamber 306-TV-11,,Active,07-06-2010 00:00,08-08-2013 00:00,US,Gary Gray,818.354.0701,"91109(34.178124, -118.150662)",PASADENA,CA,91109
Goddard Space Flight Center,700: Magnetic Field Component Test Facility,1963,Active,03-01-1996 00:00,08/16/2013 12:00:00 AM,US,Barry Green,301 286 2520,"20771(38.99538, -76.853161)",Greenbelt,MD,20771
Michoud Assembly Facility,Precision Cleaning Facility,1943,Active,02-03-2009 00:00,02/19/2013 12:00:00 AM,US,Ernest Graham,504.257-2619,"70189(29.950621, -90.074948)",New Orleans,LA,70189
NASA Aircraft Management Division,DFRC Gulfstream G-III Research Aircraft,,Active,10-07-2009 00:00,02/13/2013 12:00:00 AM,US,Hsien (Shen) Yen,202 358 4721,"20546(38.883239, -77.016473)",Washington,DC,20546
Michoud Assembly Facility,Riveting Facility,1943,Active,02-09-2009 00:00,02/19/2013 12:00:00 AM,US,Ernest Graham,504.257-2619,"70189(29.950621, -90.074948)",New Orleans,LA,70189
Jet Propulsion Lab,DSS 13 Antenna,1958,Active,03-01-1996 00:00,08-07-2013 00:00,US,Gary Gray,818.354.0701,"91109(34.178124, -118.150662)",PASADENA,CA,91109
Marshall Space Flight Center,EH Metals Processing Facility 4711,1958,Active,03-01-1996 00:00,06-02-2014 00:00,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Kennedy Space Center,North Wing/60680/HGR-AE ,1959,,03-01-1996 00:00,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Langley Research Center,Helicopter Hover Facility/647,1977,Active,03-01-1996 00:00,02/15/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Marshall Space Flight Center,EH Computer Aided Design (CAD)Room 4708,1989,Active,05/29/1996 12:00:00 AM,06-02-2014 00:00,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
